Metropolitan Statisical Area,All items,Goods,Housing,Utilities,Other
"Kansas City, MO-KS",94.7,95.2,85.4,108.5,96.8
"Kennewick-Richland, WA",101.9,103.8,102.6,89.2,101.2
"Killeen-Temple, TX",94.3,97,75.9,111.5,99.8
"Kingsport-Bristol, TN-VA",87.1,95.2,57.1,101.4,96.2
"Kingston, NY",101.6,98.4,113.3,94.1,99.9
"Knoxville, TN",91.7,95.3,74,102.4,96.4
"Kokomo, IN",89.7,94,63.4,105.3,97.4
"La Crosse-Onalaska, WI-MN",93.3,94.1,82.1,89.5,97.3
"Lafayette, LA",91.6,95.8,63.3,100.1,99.8
"Lafayette-West Lafayette, IN",92.2,94,75,105.3,97.4
"Lake Charles, LA",91.2,95.8,65.4,100.1,99.8
"Lake Havasu City-Kingman, AZ",88,96.3,63.2,102.9,94.5
"Lakeland-Winter Haven, FL",93.9,95.1,87.2,92.7,96.2
"Lancaster, PA",98.5,98.5,95.6,95.2,99.5
"Lansing-East Lansing, MI",93.5,93.5,81.5,95.9,97.6
"Laredo, TX",93.3,97,69,111.6,99.8
"Las Cruces, NM",88.2,96.8,61.6,87.1,95.2
"Las Vegas-Henderson-Paradise, NV",97.2,96.3,105.2,96.7,94.8
"Lawrence, KS",93.2,95.4,75.7,112.4,97.1
"Lawton, OK",90.7,95.8,60.5,109.1,100
"Lebanon, PA",96.3,98.5,83.7,95.3,99.5
"Lewiston, ID-WA",89.3,95.6,71.6,81.6,95
"Lewiston-Auburn, ME",97.2,99,82.9,69.8,103
"Lexington-Fayette, KY",93.2,95.3,77,102,97.2
"Lima, OH",88.9,93.7,59,95.6,97.3
"Lincoln, NE",93.8,95,80.2,103.3,97.5
"Little Rock-North Little Rock-Conway, AR",92.2,95.1,66.5,103.2,99.9
"Logan, UT-ID",91.3,95.1,77.7,82.7,95.1
"Longview, TX",93.8,97,70,111.4,99.8
"Longview, WA",97.3,103.8,82.8,89.4,101.2
"Los Angeles-Long Beach-Anaheim, CA",111.9,105.7,179.3,95.4,101.3
"Louisville/Jefferson County, KY-IN",91.9,95.2,71.2,102.8,97.2
"Lubbock, TX",95.6,97,79.1,111.6,99.8
"Lynchburg, VA",89.7,95,67.5,99.2,95.5
"Macon-Bibb County, GA",87.8,95,60.5,109.6,95.3
"Madera, CA",96.3,103.2,73.8,95.3,101.4
"Madison, WI",97,94.2,104.3,90.1,97.3
"Manchester-Nashua, NH",104,98.4,123.1,87.1,103.7
"Manhattan, KS",93.8,95.4,81.6,112.3,97.1
"Mankato, MN",92.3,95.6,81.6,87,95.1
"Mansfield, OH",87.4,93.7,56.8,95.4,97.3
"McAllen-Edinburg-Mission, TX",88.5,97,55.5,111.5,99.8
"Medford, OR",99.6,103.4,92.4,88.6,100.6
"Memphis, TN-MS-AR",92.7,95.3,77.3,103.4,96.5
"Merced, CA",99.2,103.2,86.7,95.3,101.4
"Miami-Fort Lauderdale-Pompano Beach, FL",110,102.5,144.5,92.7,105.3
"Michigan City-La Porte, IN",90,94,61.1,105.3,97.4
"Midland, MI",91.3,93.5,68.8,96,97.6
"Midland, TX",104.4,97,138.3,111.6,99.8
"Milwaukee-Waukesha, WI",95.9,94.2,96.6,90.1,97.3
"Minneapolis-St. Paul-Bloomington, MN-WI",103.2,101.3,116.3,87.2,101.5
"Missoula, MT",93.6,95.9,85.4,80.7,95.8
"Mobile, AL",89.3,95.1,60.6,118.4,97.8
"Modesto, CA",102.7,103.2,107.3,95.4,101.4
"Monroe, LA",87.8,95.8,49.2,100.2,99.8
"Monroe, MI",91.7,93.5,73.2,96,97.6
"Montgomery, AL",90.6,95.1,64.9,118.5,97.8
"Morgantown, WV",92.2,95.2,73,100.1,95.9
"Morristown, TN",88,95.3,62,102.2,96.4
"Mount Vernon-Anacortes, WA",102.4,103.8,105,89.3,101.2
"Muncie, IN",88,94,58.6,105.5,97.4
"Muskegon, MI",91.9,93.5,75.2,95.9,97.6
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",93.4,95.4,85.9,102,95.6
"Napa, CA",111.4,103.2,177.9,95.4,101.4
"Naples-Marco Island, FL",100.9,95.1,127.2,92.8,96.2
"Nashville-Davidson--Murfreesboro--Franklin, TN",97,95.3,102,102.3,96.4
"New Bern, NC",89.4,95.4,66.7,99.2,95.7
"New Haven-Milford, CT",102.5,99,108.5,103.8,102.6
"New Orleans-Metairie, LA",96.9,95.8,90.8,100.2,99.8
"New York-Newark-Jersey City, NY-NJ-PA",115.5,110.2,164,97.6,108.5
"Niles, MI",87.6,93.5,58.2,95.9,97.6
"North Port-Sarasota-Bradenton, FL",100.5,95.1,123.8,92.8,96.2
"Norwich-New London, CT",101.5,99,102.5,103.8,102.6
"Ocala, FL",92.8,95.1,81.8,92.5,96.2
"Ocean City, NJ",101.2,98.5,105.9,103.6,99.6
"Odessa, TX",100.1,97,106.1,111.5,99.8
"Ogden-Clearfield, UT",95.2,95.1,97.7,83.4,95.1
"Oklahoma City, OK",93.8,95.8,73.3,109.1,100
"Olympia-Lacey-Tumwater, WA",104.1,103.8,115.3,89.2,101.2
"Omaha-Council Bluffs, NE-IA",95.3,95,88.8,102.7,97.4
"Orlando-Kissimmee-Sanford, FL",98.7,95.1,113.8,92.7,96.2
"Oshkosh-Neenah, WI",91.9,94.2,72.6,90.2,97.3
"Owensboro, KY",90.2,95.3,64.4,101.8,97.2
"Oxnard-Thousand Oaks-Ventura, CA",111.4,103.2,185,95.7,101.4
"Palm Bay-Melbourne-Titusville, FL",96.9,95.1,102.8,92.7,96.2
"Panama City, FL",95.9,95.1,96.9,92.7,96.2
"Parkersburg-Vienna, WV",87.8,95.2,54.3,100.1,95.9
"Pensacola-Ferry Pass-Brent, FL",93.7,95.1,84.8,92.7,96.2
"Peoria, IL",89.7,94,63,93.2,97.6
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",102.3,95.2,116.2,97.5,103.6
"Phoenix-Mesa-Chandler, AZ",102.6,100.8,107.5,102.9,102.1
"Pine Bluff, AR",83.8,95.1,47.3,103.2,99.9
"Pittsburgh, PA",95.7,98.5,79.6,95.3,99.5
"Pittsfield, MA",97.7,98.8,87.4,98.1,101.3
"Pocatello, ID",87.5,95.2,64.2,77.2,95.1
"Portland-South Portland, ME",100.3,99,100,69.8,103
"Portland-Vancouver-Hillsboro, OR-WA",105.7,103.5,130.9,89,100.7
"Port St. Lucie, FL",96,95.1,97.7,92.6,96.2
"Poughkeepsie-Newburgh-Middletown, NY",111.9,110.2,130.4,94.1,108.8
"Prescott Valley-Prescott, AZ",93.6,96.3,85.7,102.9,94.5
"Providence-Warwick, RI-MA",101.2,98.2,105,97.9,102.1
"Provo-Orem, UT",95.9,95.1,102.2,83.4,95.1
"Pueblo, CO",90.2,95.9,75.2,83.8,94.2
"Punta Gorda, FL",96.6,95.1,100.5,92.8,96.2
"Racine, WI",92.2,94.2,74.6,90.1,97.3
"Raleigh-Cary, NC",95.7,95.4,95.7,99.3,95.7
"Rapid City, SD",92.7,95.7,75.5,96.5,96.9
"Reading, PA",98,98.5,92.6,95.3,99.5
"Redding, CA",99.9,103.2,91.5,95.2,101.4
"Reno, NV",98.9,96.3,118.2,96.8,94.8
"Richmond, VA",95.4,95,95.4,99.4,95.5
"Riverside-San Bernardino-Ontario, CA",103.7,101.8,124.3,95.5,98.7
"Roanoke, VA",91.2,95,74.9,99.3,95.5
"Rochester, MN",94.7,95.6,92.9,87,95.1
"Rochester, NY",98.3,98.4,94.2,94.2,99.9
"Rockford, IL",91.6,94,73.6,93.2,97.6
"Rocky Mount, NC",84.8,95.4,48,99.1,95.7
"Rome, GA",88,95,58.2,109.7,95.3
"Sacramento-Roseville-Folsom, CA",106.1,103.2,131.7,95.5,101.4
"Saginaw, MI",87.8,93.5,56.7,95.9,97.6
"St. Cloud, MN",92.9,95.6,83.5,87,95.1
"St. George, UT",94,95.1,91.2,83.3,95.1
"St. Joseph, MO-KS",89,95.1,59.4,106.5,96.5
"St. Louis, MO-IL",95.7,103.4,81.2,101.9,95.2
"Salem, OR",100.9,103.4,99.2,88.8,100.6
"Salinas, CA",110.7,103.2,167,95.5,101.4
"Salisbury, MD-DE",92.2,95.2,81.6,99.3,95.3
"Salt Lake City, UT",97.7,95.1,116.3,83.4,95.1
"San Angelo, TX",96.3,97,83.6,111.6,99.8
"San Antonio-New Braunfels, TX",97.9,97,92.8,111.5,99.8
"San Diego-Chula Vista-Carlsbad, CA",113.4,106.6,180.9,95.5,102.7
"San Francisco-Oakland-Berkeley, CA",117.4,114.1,207.3,95.5,105.2
"San Jose-Sunnyvale-Santa Clara, CA",112.1,103.2,230.6,95.5,101.4
"San Luis Obispo-Paso Robles, CA",109.5,103.2,152.1,95.6,101.4
"Santa Cruz-Watsonville, CA",109.4,103.2,167.9,95.5,101.4
"Santa Fe, NM",94.4,96.8,89.3,87.2,95.2
"Santa Maria-Santa Barbara, CA",110,103.2,163.4,95.6,101.4
"Santa Rosa-Petaluma, CA",109.8,103.2,168.7,95.4,101.4
"Savannah, GA",94.5,95,89.3,109.8,95.3
"Scranton--Wilkes-Barre, PA",93,98.5,68.3,95.3,99.5
"Seattle-Tacoma-Bellevue, WA",112,111.1,152.7,89.3,103.4
"Sebastian-Vero Beach, FL",95.3,95.1,93.6,92.6,96.2
"Sebring-Avon Park, FL",90.3,95.1,71.8,92.6,96.2
"Sheboygan, WI",91.4,94.2,71.1,90.1,97.3
"Sherman-Denison, TX",94.5,97,74.4,111.5,99.8
"Shreveport-Bossier City, LA",91.2,95.8,64.6,100.2,99.8
"Sierra Vista-Douglas, AZ",88.8,96.3,64.3,102.8,94.5
"Sioux City, IA-NE-SD",90,95.1,66.1,99,97
"Sioux Falls, SD",94.1,95.7,81.3,96.6,96.9
"South Bend-Mishawaka, IN-MI",91.7,93.9,74.1,103.5,97.4
"Spartanburg, SC",89.9,95.4,67.5,103.4,95.5
"Spokane-Spokane Valley, WA",98.3,103.8,84.3,89.2,101.2
"Springfield, IL",90.7,94,67.4,93.1,97.6
"Springfield, MA",97.9,98.8,86.9,98.1,101.3
"Springfield, MO",89.9,95.1,64.3,105.8,96.5
"Springfield, OH",89.6,93.7,63.5,95.3,97.3
"State College, PA",99.4,98.5,101.3,95.2,99.5
"Staunton, VA",89.8,95,72.5,99.4,95.5
"Stockton, CA",103.8,103.2,114.6,95.4,101.4
"Sumter, SC",86.1,95.4,53.2,103.3,95.5
"Syracuse, NY",96.6,98.4,85.1,94.1,99.9
"Tallahassee, FL",93.2,95.1,81.5,92.5,96.2
"Tampa-St. Petersburg-Clearwater, FL",99.1,97.6,107.2,92.7,97.8
"Terre Haute, IN",87.7,94,55,105.4,97.4
"Texarkana, TX-AR",89.1,96.3,55.7,108.3,99.8
"The Villages, FL",95.6,95.1,95.7,92.8,96.2
"Toledo, OH",90.9,93.7,70.1,95.6,97.3
"Topeka, KS",90,95.4,62.6,112.4,97.1
"Trenton-Princeton, NJ",103.8,98.5,133.1,103.6,99.6
"Tucson, AZ",93.8,96.3,85.8,103,94.5
"Tulsa, OK",92.9,95.8,70.4,109.2,100
"Tuscaloosa, AL",88.9,95.1,61.2,118.4,97.8
"Twin Falls, ID",89.3,95.2,70.4,77.1,95.1
"Tyler, TX",96.9,97,87.8,111.6,99.8
"Urban Honolulu, HI",113.8,111.9,169.2,105,100.7
"Utica-Rome, NY",93.3,98.4,70.8,94.2,99.9
"Valdosta, GA",87.9,95,60,109.6,95.3
"Vallejo, CA",108.4,103.2,150.1,95.5,101.4
"Victoria, TX",95.4,97,79.1,111.4,99.8
"Vineland-Bridgeton, NJ",97.1,98.5,87.7,103.5,99.6
"Virginia Beach-Norfolk-Newport News, VA-NC",96.2,95,99.3,99.5,95.5
"Visalia, CA",97.6,103.2,80.7,95.4,101.4
"Waco, TX",94.4,97,75.1,111.6,99.8
"Walla Walla, WA",97.9,103.8,80,89.2,101.2
"Warner Robins, GA",90,95,68.1,109.5,95.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV",111.5,106.8,159.6,97.6,103.9
"Waterloo-Cedar Falls, IA",91.9,95,72.3,98.5,96.9
"Watertown-Fort Drum, NY",93.2,98.4,74.7,94.2,99.9
"Wausau-Weston, WI",89.9,94.2,66.5,90.1,97.3
"Weirton-Steubenville, WV-OH",86.9,95.2,55.7,97.4,96.1
"Wenatchee, WA",100.1,103.8,94,89.4,101.2
"Wheeling, WV-OH",87.1,95.2,56.2,97.9,96
"Wichita, KS",91.9,95.4,69.5,112.3,97.1
"Wichita Falls, TX",91.8,97,63.9,111.6,99.8
"Williamsport, PA",92.3,98.5,67.1,95.2,99.5
"Wilmington, NC",95.5,95.4,94.4,99.4,95.7
"Winchester, VA-WV",93.9,95,86.1,99.5,95.6
"Winston-Salem, NC",89,95.4,64,99.2,95.7
"Worcester, MA-CT",100.6,98.8,101.8,98.7,101.4
"Yakima, WA",96,103.8,76.1,89.3,101.2
"York-Hanover, PA",97.2,98.5,87.6,95.2,99.5
"Youngstown-Warren-Boardman, OH-PA",87.6,93.8,58.7,95.5,97.3
"Yuba City, CA",99.5,103.2,88.5,95.3,101.4
"Yuma, AZ",88.7,96.3,66.9,102.9,94.5
