,,Per capita personal income (dollars),,
Tolland,Connecticut,"54,956","56,891","59,590"
Windham,Connecticut,"44,751","47,261","50,747"
Delaware,Delaware,"53,062","53,793","56,097"
Kent,Delaware,"42,155","43,761","46,600"
New Castle,Delaware,"57,085","57,404","59,955"
Sussex,Delaware,"51,790","52,935","54,352"
District of Columbia,District of Columbia,"80,342","80,819","86,567"
Florida,Florida,"51,150","53,034","55,675"
Alachua,Florida,"44,705","46,636","49,556"
Baker,Florida,"33,285","33,913","36,552"
Bay,Florida,"43,020","46,818","50,696"
Bradford,Florida,"33,688","33,971","36,301"
Brevard,Florida,"46,145","48,539","51,507"
Broward,Florida,"50,458","52,864","55,908"
Calhoun,Florida,"27,374","29,081","32,264"
Charlotte,Florida,"42,292","43,549","45,606"
Citrus,Florida,"38,263","39,701","41,933"
Clay,Florida,"43,544","44,818","47,407"
Collier,Florida,"99,997","103,205","103,865"
Columbia,Florida,"34,842","35,600","38,243"
DeSoto,Florida,"24,369","25,717","27,863"
Dixie,Florida,"28,455","28,519","30,651"
Duval,Florida,"46,061","48,096","51,131"
Escambia,Florida,"42,744","44,377","47,381"
Flagler,Florida,"47,099","48,754","50,599"
Franklin,Florida,"36,912","37,169","39,452"
Gadsden,Florida,"34,179","35,696","38,507"
Gilchrist,Florida,"33,608","34,069","37,425"
Glades,Florida,"24,336","25,566","28,116"
Gulf,Florida,"37,117","45,559","49,666"
Hamilton,Florida,"26,880","26,884","29,383"
Hardee,Florida,"27,010","28,389","31,775"
Hendry,Florida,"30,939","31,921","35,546"
Hernando,Florida,"37,274","38,612","41,385"
Highlands,Florida,"33,047","34,433","37,158"
Hillsborough,Florida,"46,775","48,586","51,848"
Holmes,Florida,"30,944","32,195","34,661"
Indian River,Florida,"79,972","83,241","84,607"
Jackson,Florida,"32,925","35,371","38,710"
Jefferson,Florida,"39,930","42,058","44,065"
Lafayette,Florida,"24,610","27,008","30,032"
Lake,Florida,"43,160","44,253","46,563"
Lee,Florida,"52,022","52,832","54,707"
Leon,Florida,"44,528","46,126","48,850"
Levy,Florida,"36,173","37,176","40,598"
Liberty,Florida,"24,601","25,697","28,496"
Madison,Florida,"32,334","32,851","35,828"
Manatee,Florida,"48,450","50,108","52,395"
Marion,Florida,"37,497","38,754","41,553"
Martin,Florida,"83,846","87,423","89,185"
Miami-Dade,Florida,"52,942","54,316","57,213"
Monroe,Florida,"98,438","104,370","106,583"
Nassau,Florida,"61,013","62,700","64,746"
Okaloosa,Florida,"48,852","51,341","54,630"
Okeechobee,Florida,"30,637","32,236","34,998"
Orange,Florida,"44,751","46,645","49,390"
Osceola,Florida,"34,848","36,258","39,210"
Palm Beach,Florida,"82,076","85,213","87,478"
Pasco,Florida,"41,296","42,495","45,461"
Pinellas,Florida,"53,578","56,002","59,178"
Polk,Florida,"36,048","37,183","39,760"
Putnam,Florida,"32,461","33,747","36,354"
St. Johns,Florida,"70,853","71,577","73,944"
