,,Per capita personal income (dollars),,
Gosper,Nebraska,"46,389","49,937","59,049"
Grant,Nebraska,"42,251","47,447","54,922"
Greeley,Nebraska,"43,665","46,749","56,500"
Hall,Nebraska,"43,251","44,457","47,793"
Hamilton,Nebraska,"53,269","55,198","61,230"
Harlan,Nebraska,"48,354","51,888","57,828"
Hayes,Nebraska,"59,047","65,255","79,926"
Hitchcock,Nebraska,"37,020","39,694","46,667"
Holt,Nebraska,"50,052","51,745","59,853"
Hooker,Nebraska,"49,972","47,804","54,516"
Howard,Nebraska,"42,807","45,971","50,857"
Jefferson,Nebraska,"46,852","48,555","53,407"
Johnson,Nebraska,"33,941","35,813","39,498"
Kearney,Nebraska,"51,964","55,393","61,585"
Keith,Nebraska,"46,216","47,398","51,040"
Keya Paha,Nebraska,"49,059","49,847","66,705"
Kimball,Nebraska,"44,821","44,529","50,075"
Knox,Nebraska,"45,053","46,679","53,356"
Lancaster,Nebraska,"49,449","50,510","52,887"
Lincoln,Nebraska,"48,335","49,610","54,043"
Logan,Nebraska,"51,024","49,181","58,616"
Loup,Nebraska,"52,250","52,624","61,740"
McPherson,Nebraska,"42,520","45,197","62,907"
Madison,Nebraska,"49,412","51,413","55,104"
Merrick,Nebraska,"42,782","46,880","50,870"
Morrill,Nebraska,"52,631","56,516","63,120"
Nance,Nebraska,"35,316","39,292","46,091"
Nemaha,Nebraska,"46,286","48,589","51,548"
Nuckolls,Nebraska,"48,906","51,840","59,449"
Otoe,Nebraska,"52,757","54,989","57,873"
Pawnee,Nebraska,"43,293","43,594","51,436"
Perkins,Nebraska,"53,314","62,624","71,191"
Phelps,Nebraska,"50,321","53,449","59,324"
Pierce,Nebraska,"53,362","57,173","62,493"
Platte,Nebraska,"46,316","48,042","52,316"
Polk,Nebraska,"50,763","53,391","57,312"
Red Willow,Nebraska,"44,441","46,409","52,196"
Richardson,Nebraska,"47,393","49,555","54,773"
Rock,Nebraska,"58,222","59,531","72,590"
Saline,Nebraska,"41,949","43,935","47,785"
Sarpy,Nebraska,"51,167","52,380","55,173"
Saunders,Nebraska,"51,349","53,414","56,892"
Scotts Bluff,Nebraska,"44,183","45,388","49,048"
Seward,Nebraska,"50,032","51,580","56,220"
Sheridan,Nebraska,"45,565","49,061","56,597"
Sherman,Nebraska,"40,422","43,915","50,461"
Sioux,Nebraska,"53,759","55,894","64,440"
Stanton,Nebraska,"43,178","45,713","52,621"
Thayer,Nebraska,"51,546","54,402","60,659"
Thomas,Nebraska,"53,385","53,003","57,805"
Thurston,Nebraska,"36,075","39,140","45,789"
Valley,Nebraska,"45,977","49,408","59,867"
Washington,Nebraska,"55,607","58,047","60,738"
Wayne,Nebraska,"42,332","44,259","49,143"
Webster,Nebraska,"45,901","49,541","53,815"
Wheeler,Nebraska,"55,761","68,540","70,710"
York,Nebraska,"48,434","50,703","56,457"
Nevada,Nevada,"49,424","51,419","53,720"
Churchill,Nevada,"44,965","46,149","50,081"
Clark,Nevada,"47,184","49,225","51,244"
Douglas,Nevada,"72,605","75,241","78,416"
Elko,Nevada,"46,542","47,785","50,429"
Esmeralda,Nevada,"38,802","43,025","42,962"
Eureka,Nevada,"38,085","42,637","46,792"
Humboldt,Nevada,"46,106","48,853","51,772"
Lander,Nevada,"66,040","69,494","72,931"
Lincoln,Nevada,"37,022","39,793","43,357"
Lyon,Nevada,"39,137","40,313","44,098"
Mineral,Nevada,"37,652","41,261","48,982"
Nye,Nevada,"38,414","39,673","41,367"
Pershing,Nevada,"32,047","33,337","37,906"
Storey,Nevada,"57,763","58,374","65,971"
Washoe,Nevada,"61,033","62,994","66,076"
White Pine,Nevada,"44,354","46,584","50,653"
Carson City,Nevada,"50,378","52,880","56,510"
New Hampshire,New Hampshire,"61,371","63,785","67,097"
Belknap,New Hampshire,"61,382","63,484","66,919"
Carroll,New Hampshire,"59,191","60,844","63,403"
Cheshire,New Hampshire,"51,590","53,190","56,088"
Coos,New Hampshire,"43,569","44,804","49,564"
Grafton,New Hampshire,"61,106","63,816","67,943"
Hillsborough,New Hampshire,"60,760","62,752","66,548"
Merrimack,New Hampshire,"57,516","59,936","63,839"
Rockingham,New Hampshire,"74,464","78,153","80,220"
Strafford,New Hampshire,"50,679","52,598","56,104"
Sullivan,New Hampshire,"52,583","54,260","57,602"
New Jersey,New Jersey,"67,142","69,626","73,460"
Atlantic,New Jersey,"48,110","51,247","55,802"
Bergen,New Jersey,"85,191","88,241","91,972"
Burlington,New Jersey,"61,140","63,528","67,154"
Camden,New Jersey,"53,026","54,958","58,830"
Cape May,New Jersey,"60,246","63,203","67,836"
Cumberland,New Jersey,"39,448","41,327","45,498"
Essex,New Jersey,"63,521","65,927","70,497"
Gloucester,New Jersey,"54,646","56,853","60,386"
Hudson,New Jersey,"65,090","67,570","71,682"
Hunterdon,New Jersey,"87,934","91,946","95,088"
Mercer,New Jersey,"68,052","70,675","74,218"
Middlesex,New Jersey,"60,547","62,665","66,640"
Monmouth,New Jersey,"79,249","82,270","86,091"
Morris,New Jersey,"97,244","99,140","102,227"
Ocean,New Jersey,"51,725","53,517","57,344"
Passaic,New Jersey,"49,167","51,203","55,775"
Salem,New Jersey,"47,485","50,597","54,578"
Somerset,New Jersey,"104,620","110,466","112,825"
Sussex,New Jersey,"61,531","64,284","67,814"
Union,New Jersey,"67,346","68,867","72,543"
Warren,New Jersey,"54,973","56,956","60,525"
New Mexico,New Mexico,"41,329","43,121","46,338"
Bernalillo,New Mexico,"43,326","45,203","48,683"
Catron,New Mexico,"32,384","32,184","36,171"
Chaves,New Mexico,"39,086","40,117","43,615"
Cibola,New Mexico,"27,651","28,979","32,755"
Colfax,New Mexico,"39,688","41,000","45,610"
Curry,New Mexico,"41,787","43,667","48,894"
De Baca,New Mexico,"45,330","47,727","56,603"
Doña Ana,New Mexico,"35,805","37,413","40,218"
Eddy,New Mexico,"54,520","60,847","62,356"
Grant,New Mexico,"40,554","42,599","45,561"
Guadalupe,New Mexico,"33,752","35,168","39,140"
Harding,New Mexico,"38,545","41,124","50,723"
Hidalgo,New Mexico,"41,272","43,323","48,166"
Lea,New Mexico,"47,092","49,517","47,215"
Lincoln,New Mexico,"40,547","41,869","44,732"
Los Alamos,New Mexico,"70,405","73,189","76,142"
Luna,New Mexico,"31,445","32,997","38,022"
McKinley,New Mexico,"27,402","28,855","32,804"
Mora,New Mexico,"38,290","40,436","45,300"
Otero,New Mexico,"34,562","35,231","38,779"
Quay,New Mexico,"38,961","39,870","44,691"
Rio Arriba,New Mexico,"34,982","36,401","40,771"
Roosevelt,New Mexico,"39,226","41,475","46,999"
Sandoval,New Mexico,"41,843","43,977","47,257"
San Juan,New Mexico,"35,408","36,095","38,370"
San Miguel,New Mexico,"34,797","36,191","40,675"
Santa Fe,New Mexico,"58,525","60,301","63,004"
Sierra,New Mexico,"38,534","40,762","47,388"
Socorro,New Mexico,"33,875","35,054","39,055"
Taos,New Mexico,"37,906","38,446","42,965"
Torrance,New Mexico,"31,670","33,301","37,276"
Union,New Mexico,"35,192","35,939","41,932"
Valencia,New Mexico,"34,177","35,268","38,918"
New York,New York,"67,357","69,951","74,472"
Albany,New York,"59,547","61,876","66,632"
Allegany,New York,"34,553","37,131","40,840"
Bronx,New York,"35,819","38,096","43,919"
Broome,New York,"43,487","45,174","49,314"
Cattaraugus,New York,"39,239","41,122","45,200"
Cayuga,New York,"42,031","44,415","48,585"
Chautauqua,New York,"39,900","41,443","45,357"
Chemung,New York,"43,941","45,658","49,439"
Chenango,New York,"41,715","43,286","47,842"
Clinton,New York,"43,216","44,859","48,292"
Columbia,New York,"55,163","57,136","60,859"
Cortland,New York,"40,368","41,412","45,776"
Delaware,New York,"39,271","42,523","45,822"
Dutchess,New York,"55,799","58,417","62,319"
Erie,New York,"50,435","52,264","56,748"
Essex,New York,"45,638","47,329","50,824"
Franklin,New York,"37,264","39,307","42,525"
Fulton,New York,"42,812","44,478","48,957"
Genesee,New York,"43,618","45,200","49,468"
Greene,New York,"47,044","48,947","52,484"
Hamilton,New York,"54,330","55,730","60,014"
Herkimer,New York,"40,795","43,347","47,266"
Jefferson,New York,"46,375","48,896","53,964"
Kings,New York,"51,730","54,349","59,468"
Lewis,New York,"44,539","47,134","51,992"
Livingston,New York,"45,845","46,116","49,382"
Madison,New York,"43,607","45,453","49,137"
Monroe,New York,"52,173","54,174","58,299"
Montgomery,New York,"40,534","41,995","46,332"
Nassau,New York,"89,242","92,159","96,253"
New York,New York,"184,539","187,213","191,220"
Niagara,New York,"44,569","47,053","51,506"
Oneida,New York,"43,917","46,529","50,201"
Onondaga,New York,"52,624","54,379","58,919"
Ontario,New York,"53,151","55,315","59,335"
Orange,New York,"51,247","53,287","57,688"
Orleans,New York,"38,959","39,798","44,477"
Oswego,New York,"40,067","42,047","46,210"
Otsego,New York,"43,670","45,672","49,275"
Putnam,New York,"66,740","69,542","73,152"
Queens,New York,"49,212","51,530","57,085"
Rensselaer,New York,"48,618","50,481","54,748"
Richmond,New York,"55,695","57,990","62,558"
Rockland,New York,"60,111","62,206","66,350"
St. Lawrence,New York,"37,707","39,373","43,034"
Saratoga,New York,"70,010","72,219","77,398"
Schenectady,New York,"48,718","54,310","58,210"
Schoharie,New York,"41,084","42,648","46,469"
Schuyler,New York,"41,357","42,703","46,971"
Seneca,New York,"38,284","40,299","44,065"
Steuben,New York,"44,869","46,726","50,331"
Suffolk,New York,"69,209","72,180","76,713"
Sullivan,New York,"45,993","48,550","52,249"
Tioga,New York,"44,811","46,818","50,990"
Tompkins,New York,"44,692","46,052","49,486"
Ulster,New York,"50,378","52,554","56,071"
Warren,New York,"52,542","54,650","59,509"
Washington,New York,"40,089","42,122","46,305"
Wayne,New York,"45,732","48,162","51,282"
Westchester,New York,"107,252","112,037","115,386"
Wyoming,New York,"39,872","42,682","47,331"
Yates,New York,"39,082","41,632","45,258"
North Carolina,North Carolina,"45,758","47,660","50,305"
Alamance,North Carolina,"39,742","41,256","43,973"
Alexander,North Carolina,"36,539","37,758","40,176"
Alleghany,North Carolina,"36,576","37,987","40,599"
Anson,North Carolina,"35,135","37,741","38,785"
Ashe,North Carolina,"34,791","36,643","39,612"
Avery,North Carolina,"35,335","36,896","39,437"
Beaufort,North Carolina,"41,331","43,878","46,363"
Bertie,North Carolina,"35,216","37,557","40,351"
Bladen,North Carolina,"34,040","35,601","39,264"
Brunswick,North Carolina,"44,497","45,128","46,829"
Buncombe,North Carolina,"48,819","50,804","53,309"
Burke,North Carolina,"34,881","36,022","38,946"
Cabarrus,North Carolina,"45,352","46,826","49,679"
Caldwell,North Carolina,"34,896","36,141","38,894"
Camden,North Carolina,"44,413","45,839","48,642"
Carteret,North Carolina,"47,910","50,531","53,276"
Caswell,North Carolina,"34,413","36,032","39,265"
Catawba,North Carolina,"44,528","46,184","49,193"
Chatham,North Carolina,"63,068","64,978","66,766"
Cherokee,North Carolina,"31,996","34,072","36,620"
Chowan,North Carolina,"40,326","42,376","45,388"
Clay,North Carolina,"33,043","34,901","37,625"
Cleveland,North Carolina,"36,920","38,859","41,616"
Columbus,North Carolina,"31,827","33,376","37,112"
Craven,North Carolina,"42,495","45,308","48,832"
Cumberland,North Carolina,"37,919","39,799","42,992"
Currituck,North Carolina,"45,460","46,911","49,152"
Dare,North Carolina,"54,295","56,573","59,240"
Davidson,North Carolina,"38,966","40,647","43,348"
Davie,North Carolina,"47,774","49,964","52,153"
Duplin,North Carolina,"33,314","35,354","37,872"
Durham,North Carolina,"49,557","51,380","54,056"
Edgecombe,North Carolina,"34,443","36,237","39,394"
Forsyth,North Carolina,"47,037","48,756","51,323"
Franklin,North Carolina,"36,088","36,826","39,490"
Gaston,North Carolina,"39,851","41,330","44,103"
Gates,North Carolina,"36,883","38,915","41,571"
Graham,North Carolina,"33,017","35,055","37,943"
Granville,North Carolina,"38,053","40,359","42,807"
Greene,North Carolina,"30,343","32,088","34,811"
Guilford,North Carolina,"45,234","47,013","49,856"
Halifax,North Carolina,"35,342","37,146","39,680"
Harnett,North Carolina,"34,359","35,873","38,280"
Haywood,North Carolina,"39,540","41,523","43,754"
Henderson,North Carolina,"43,626","45,680","47,385"
Hertford,North Carolina,"31,222","32,717","36,216"
Hoke,North Carolina,"31,402","32,845","35,411"
Hyde,North Carolina,"35,397","39,776","42,832"
Iredell,North Carolina,"51,163","53,465","56,201"
Jackson,North Carolina,"33,255","35,663","38,341"
Johnston,North Carolina,"40,272","41,318","44,087"
Jones,North Carolina,"37,400","41,434","43,254"
Lee,North Carolina,"40,923","42,390","44,870"
Lenoir,North Carolina,"39,285","40,990","44,361"
Lincoln,North Carolina,"45,514","47,322","50,216"
McDowell,North Carolina,"34,190","35,086","37,858"
Macon,North Carolina,"39,243","41,654","44,564"
Madison,North Carolina,"33,747","35,888","38,148"
Martin,North Carolina,"33,431","35,403","38,301"
Mecklenburg,North Carolina,"60,804","62,846","65,244"
Mitchell,North Carolina,"35,781","37,046","39,476"
Montgomery,North Carolina,"35,608","36,850","39,353"
Moore,North Carolina,"50,526","52,441","54,514"
Nash,North Carolina,"41,564","43,315","45,890"
New Hanover,North Carolina,"46,049","48,558","50,780"
Northampton,North Carolina,"33,506","36,080","38,402"
Onslow,North Carolina,"40,077","40,671","43,122"
Orange,North Carolina,"62,393","65,530","67,089"
Pamlico,North Carolina,"40,568","42,848","45,994"
Pasquotank,North Carolina,"37,819","39,521","42,529"
Pender,North Carolina,"37,403","39,418","41,292"
Perquimans,North Carolina,"39,284","41,234","44,402"
Person,North Carolina,"37,342","39,038","41,581"
Pitt,North Carolina,"41,163","42,882","45,169"
Polk,North Carolina,"43,276","46,661","48,125"
Randolph,North Carolina,"37,378","38,935","41,231"
Richmond,North Carolina,"34,157","35,434","38,554"
Robeson,North Carolina,"28,846","30,552","33,062"
Rockingham,North Carolina,"36,586","38,057","40,672"
Rowan,North Carolina,"38,338","40,714","43,724"
Rutherford,North Carolina,"32,180","34,065","36,714"
Sampson,North Carolina,"33,889","35,805","38,165"
Scotland,North Carolina,"32,428","33,895","36,247"
Stanly,North Carolina,"38,545","39,931","42,613"
Stokes,North Carolina,"37,340","38,775","41,186"
Surry,North Carolina,"37,875","39,696","42,133"
Swain,North Carolina,"38,462","40,824","44,213"
Transylvania,North Carolina,"41,102","43,065","44,747"
Tyrrell,North Carolina,"29,285","33,699","37,638"
Union,North Carolina,"52,475","54,534","56,820"
Vance,North Carolina,"33,643","35,002","37,774"
Wake,North Carolina,"60,330","62,657","65,450"
Warren,North Carolina,"29,228","30,317","33,779"
Washington,North Carolina,"34,454","36,780","39,912"
Watauga,North Carolina,"36,704","38,652","40,157"
Wayne,North Carolina,"38,115","40,116","42,882"
Wilkes,North Carolina,"36,445","37,309","39,518"
Wilson,North Carolina,"39,158","40,260","43,111"
Yadkin,North Carolina,"37,328","39,012","41,250"
Yancey,North Carolina,"36,475","38,011","40,422"
North Dakota,North Dakota,"56,340","58,163","61,530"
Adams,North Dakota,"46,920","49,382","59,255"
Barnes,North Dakota,"52,638","56,985","64,242"
Benson,North Dakota,"36,824","36,229","45,003"
Billings,North Dakota,"78,008","81,562","82,466"
Bottineau,North Dakota,"62,199","61,826","68,631"
Bowman,North Dakota,"61,172","68,298","68,963"
Burke,North Dakota,"73,840","76,582","77,237"
Burleigh,North Dakota,"59,381","61,147","62,801"
Cass,North Dakota,"57,597","59,415","61,899"
Cavalier,North Dakota,"74,820","64,238","88,702"
Dickey,North Dakota,"54,902","63,334","71,888"
Divide,North Dakota,"52,531","55,971","62,052"
Dunn,North Dakota,"63,808","67,270","68,491"
Eddy,North Dakota,"59,883","60,794","74,844"
Emmons,North Dakota,"49,479","51,194","64,430"
Foster,North Dakota,"61,268","61,967","76,313"
Golden Valley,North Dakota,"37,752","39,030","46,435"
Grand Forks,North Dakota,"51,496","53,381","57,659"
Grant,North Dakota,"43,023","45,297","57,761"
Griggs,North Dakota,"57,992","58,748","73,753"
Hettinger,North Dakota,"48,395","50,384","59,519"
Kidder,North Dakota,"51,092","53,103","64,918"
LaMoure,North Dakota,"52,791","60,161","70,351"
Logan,North Dakota,"53,489","51,572","59,859"
McHenry,North Dakota,"53,196","52,552","59,320"
McIntosh,North Dakota,"55,917","60,988","70,812"
McKenzie,North Dakota,"68,494","67,761","64,035"
McLean,North Dakota,"56,859","61,260","66,025"
Mercer,North Dakota,"58,663","58,923","60,497"
Morton,North Dakota,"53,084","54,782","57,708"
Mountrail,North Dakota,"64,063","65,591","64,982"
Nelson,North Dakota,"60,783","61,641","75,907"
Oliver,North Dakota,"44,851","45,805","52,076"
Pembina,North Dakota,"58,930","60,963","72,827"
Pierce,North Dakota,"51,064","48,329","57,159"
Ramsey,North Dakota,"49,414","50,171","57,250"
Ransom,North Dakota,"54,827","59,123","65,153"
Renville,North Dakota,"75,079","71,625","80,431"
Richland,North Dakota,"49,981","52,375","54,465"
Rolette,North Dakota,"36,026","36,455","41,884"
Sargent,North Dakota,"55,738","62,704","67,215"
Sheridan,North Dakota,"48,170","47,192","58,958"
Sioux,North Dakota,"27,710","28,194","33,675"
Slope,North Dakota,"40,838","45,086","60,039"
Stark,North Dakota,"62,343","65,914","63,650"
Steele,North Dakota,"55,133","62,811","84,674"
Stutsman,North Dakota,"51,666","54,679","62,694"
Towner,North Dakota,"70,334","59,474","87,632"
Traill,North Dakota,"50,381","54,952","64,096"
Walsh,North Dakota,"51,266","52,544","63,790"
Ward,North Dakota,"54,284","56,161","57,492"
Wells,North Dakota,"59,809","60,817","79,403"
Williams,North Dakota,"70,474","69,619","64,850"
Ohio,Ohio,"48,778","50,201","53,641"
Adams,Ohio,"34,849","35,553","39,658"
Allen,Ohio,"42,427","43,268","46,500"
Ashland,Ohio,"38,595","39,969","43,041"
Ashtabula,Ohio,"38,923","40,039","43,597"
Athens,Ohio,"33,402","34,387","36,642"
Auglaize,Ohio,"48,735","49,225","52,330"
Belmont,Ohio,"42,836","41,735","43,354"
Brown,Ohio,"37,428","38,935","42,275"
Butler,Ohio,"47,498","49,959","52,598"
Carroll,Ohio,"39,504","40,997","44,624"
Champaign,Ohio,"41,353","42,403","46,605"
Clark,Ohio,"40,263","41,625","45,363"
Clermont,Ohio,"53,893","57,571","60,535"
Clinton,Ohio,"45,082","45,049","48,542"
Columbiana,Ohio,"38,282","39,387","42,771"
Coshocton,Ohio,"35,262","36,258","39,640"
Crawford,Ohio,"38,720","39,667","43,918"
Cuyahoga,Ohio,"54,612","55,998","59,923"
Darke,Ohio,"43,987","44,202","48,088"
Defiance,Ohio,"40,995","41,905","45,385"
Delaware,Ohio,"74,837","76,131","79,382"
Erie,Ohio,"60,406","55,748","56,732"
Fairfield,Ohio,"46,436","47,809","51,153"
Fayette,Ohio,"38,583","40,049","46,261"
Franklin,Ohio,"50,184","51,467","55,294"
Fulton,Ohio,"45,506","47,145","50,349"
Gallia,Ohio,"39,560","40,492","43,932"
Geauga,Ohio,"69,949","71,824","73,958"
Greene,Ohio,"50,478","51,648","54,645"
Guernsey,Ohio,"40,629","41,731","45,218"
Hamilton,Ohio,"59,550","61,458","65,035"
Hancock,Ohio,"50,191","50,556","54,386"
Hardin,Ohio,"32,894","33,253","36,506"
Harrison,Ohio,"38,607","39,466","42,014"
Henry,Ohio,"44,650","46,216","50,752"
Highland,Ohio,"36,269","37,274","41,094"
Hocking,Ohio,"38,010","39,253","42,337"
Holmes,Ohio,"45,612","47,386","48,118"
Huron,Ohio,"40,609","41,776","45,844"
Jackson,Ohio,"35,514","36,816","40,663"
Jefferson,Ohio,"38,916","40,683","44,375"
Knox,Ohio,"43,197","44,390","47,964"
Lake,Ohio,"51,402","52,811","56,085"
Lawrence,Ohio,"38,521","39,413","42,905"
Licking,Ohio,"46,030","47,498","50,810"
Logan,Ohio,"43,047","44,189","48,471"
Lorain,Ohio,"46,507","47,989","51,157"
Lucas,Ohio,"46,147","47,719","51,024"
Madison,Ohio,"41,247","42,296","46,679"
Mahoning,Ohio,"42,992","44,315","47,729"
Marion,Ohio,"37,393","37,873","41,449"
Medina,Ohio,"56,311","57,630","60,514"
Meigs,Ohio,"34,713","36,055","39,644"
Mercer,Ohio,"52,830","50,940","54,527"
Miami,Ohio,"47,759","48,999","52,469"
Monroe,Ohio,"35,404","37,565","41,242"
Montgomery,Ohio,"46,786","48,143","51,618"
Morgan,Ohio,"33,024","34,508","38,583"
Morrow,Ohio,"39,275","40,740","44,282"
Muskingum,Ohio,"40,855","42,506","46,070"
Noble,Ohio,"27,335","27,981","30,397"
Ottawa,Ohio,"52,226","54,026","57,446"
Paulding,Ohio,"40,818","41,831","46,097"
Perry,Ohio,"37,505","38,562","41,913"
Pickaway,Ohio,"40,924","42,169","46,033"
Pike,Ohio,"37,706","38,804","42,774"
Portage,Ohio,"44,319","45,500","48,285"
Preble,Ohio,"40,164","41,302","45,016"
Putnam,Ohio,"49,465","50,699","54,646"
Richland,Ohio,"39,173","40,313","43,928"
Ross,Ohio,"37,235","39,010","42,348"
Sandusky,Ohio,"41,563","42,343","46,113"
Scioto,Ohio,"39,122","40,794","43,820"
Seneca,Ohio,"39,002","40,458","44,993"
Shelby,Ohio,"45,556","46,069","49,956"
Stark,Ohio,"44,912","46,384","49,592"
Summit,Ohio,"51,404","53,580","56,821"
Trumbull,Ohio,"41,043","41,559","45,142"
Tuscarawas,Ohio,"43,952","45,039","47,937"
Union,Ohio,"58,905","59,835","64,147"
Van Wert,Ohio,"42,507","43,120","47,339"
Vinton,Ohio,"33,713","35,022","38,881"
Warren,Ohio,"60,439","62,896","65,855"
Washington,Ohio,"43,360","44,343","47,365"
Wayne,Ohio,"45,133","46,939","49,901"
Williams,Ohio,"41,256","42,965","46,040"
Wood,Ohio,"47,624","48,566","51,147"
Wyandot,Ohio,"44,854","46,032","50,573"
Oklahoma,Oklahoma,"46,298","48,317","49,878"
Adair,Oklahoma,"29,020","29,926","32,724"
Alfalfa,Oklahoma,"39,579","40,970","43,043"
Atoka,Oklahoma,"32,121","32,869","34,758"
Beaver,Oklahoma,"52,237","54,416","57,190"
Beckham,Oklahoma,"38,847","39,364","41,041"
Blaine,Oklahoma,"42,419","43,857","44,435"
Bryan,Oklahoma,"34,189","35,545","37,561"
Caddo,Oklahoma,"35,750","37,535","39,673"
Canadian,Oklahoma,"45,975","46,596","48,267"
Carter,Oklahoma,"43,074","44,167","45,874"
Cherokee,Oklahoma,"32,574","33,943","35,764"
Choctaw,Oklahoma,"30,998","32,340","35,627"
Cimarron,Oklahoma,"61,295","66,785","68,446"
Cleveland,Oklahoma,"45,295","46,488","48,042"
Coal,Oklahoma,"36,378","38,752","38,938"
Comanche,Oklahoma,"41,285","42,639","45,432"
Cotton,Oklahoma,"40,230","43,995","47,794"
Craig,Oklahoma,"37,375","39,286","41,477"
Creek,Oklahoma,"40,612","42,591","44,706"
Custer,Oklahoma,"40,152","41,708","43,373"
Delaware,Oklahoma,"32,594","33,819","35,435"
Dewey,Oklahoma,"46,491","50,635","51,656"
Ellis,Oklahoma,"51,734","53,949","55,592"
Garfield,Oklahoma,"44,288","45,053","46,702"
Garvin,Oklahoma,"38,315","40,132","42,189"
Grady,Oklahoma,"40,277","41,854","43,506"
Grant,Oklahoma,"41,607","47,131","53,075"
Greer,Oklahoma,"28,163","29,876","32,547"
Harmon,Oklahoma,"36,852","41,582","45,688"
Harper,Oklahoma,"49,199","50,182","50,223"
Haskell,Oklahoma,"32,348","33,186","33,617"
Hughes,Oklahoma,"39,298","41,863","43,758"
Jackson,Oklahoma,"40,299","43,272","46,426"
Jefferson,Oklahoma,"32,673","34,158","37,467"
Johnston,Oklahoma,"36,732","35,555","38,971"
Kay,Oklahoma,"40,172","41,813","44,718"
Kingfisher,Oklahoma,"53,924","56,383","58,591"
Kiowa,Oklahoma,"34,220","37,429","40,736"
Latimer,Oklahoma,"34,208","34,821","35,756"
Le Flore,Oklahoma,"32,225","33,527","35,362"
Lincoln,Oklahoma,"35,363","36,731","39,164"
Logan,Oklahoma,"43,406","44,566","46,102"
Love,Oklahoma,"37,752","38,248","40,353"
McClain,Oklahoma,"46,437","48,780","49,683"
McCurtain,Oklahoma,"32,168","33,072","35,511"
McIntosh,Oklahoma,"33,408","35,972","38,217"
Major,Oklahoma,"44,485","44,106","45,667"
Marshall,Oklahoma,"33,202","34,406","36,800"
Mayes,Oklahoma,"35,604","36,741","39,149"
Murray,Oklahoma,"42,637","43,556","45,419"
Muskogee,Oklahoma,"36,149","37,881","39,894"
Noble,Oklahoma,"41,795","44,736","47,378"
Nowata,Oklahoma,"35,887","37,236","39,961"
Okfuskee,Oklahoma,"29,158","31,625","33,520"
Oklahoma,Oklahoma,"51,313","55,917","56,971"
Okmulgee,Oklahoma,"33,559","35,187","37,367"
Osage,Oklahoma,"34,875","36,438","38,588"
Ottawa,Oklahoma,"36,490","38,356","40,876"
Pawnee,Oklahoma,"35,970","37,399","39,491"
Payne,Oklahoma,"37,034","39,113","40,487"
Pittsburg,Oklahoma,"38,415","39,638","40,786"
Pontotoc,Oklahoma,"42,860","45,121","47,748"
Pottawatomie,Oklahoma,"37,181","39,769","40,043"
Pushmataha,Oklahoma,"31,747","32,731","35,650"
Roger Mills,Oklahoma,"44,984","44,266","46,054"
Rogers,Oklahoma,"46,769","48,836","50,583"
Seminole,Oklahoma,"33,581","35,152","37,463"
Sequoyah,Oklahoma,"32,733","34,256","36,537"
Stephens,Oklahoma,"42,376","44,182","46,027"
Texas,Oklahoma,"53,030","56,591","55,434"
Tillman,Oklahoma,"33,991","38,114","38,316"
Tulsa,Oklahoma,"63,340","64,444","65,519"
Wagoner,Oklahoma,"40,116","41,458","43,111"
Washington,Oklahoma,"63,641","59,436","58,010"
Washita,Oklahoma,"34,818","36,574","38,017"
Woods,Oklahoma,"44,551","45,859","47,226"
Woodward,Oklahoma,"38,117","38,420","40,710"
Oregon,Oregon,"50,535","52,462","56,312"
Baker,Oregon,"40,070","41,658","46,277"
Benton,Oregon,"45,846","47,920","50,399"
Clackamas,Oregon,"58,903","61,375","64,791"
Clatsop,Oregon,"44,901","45,743","48,777"
Columbia,Oregon,"43,828","45,379","48,749"
Coos,Oregon,"43,550","46,120","50,581"
Crook,Oregon,"41,415","42,981","46,179"
Curry,Oregon,"42,714","44,490","48,046"
Deschutes,Oregon,"55,473","57,493","61,216"
Douglas,Oregon,"40,455","41,804","46,342"
Gilliam,Oregon,"50,504","56,907","67,754"
Grant,Oregon,"41,220","42,596","47,569"
Harney,Oregon,"39,000","40,779","47,009"
Hood River,Oregon,"54,963","55,609","60,225"
Jackson,Oregon,"45,903","47,708","51,824"
Jefferson,Oregon,"34,350","35,376","39,552"
Josephine,Oregon,"40,980","43,694","46,913"
Klamath,Oregon,"39,777","40,457","44,513"
Lake,Oregon,"40,373","41,826","47,402"
Lane,Oregon,"44,957","45,960","49,583"
Lincoln,Oregon,"43,858","44,689","47,231"
Linn,Oregon,"42,811","43,971","48,040"
Malheur,Oregon,"31,610","33,562","37,964"
Marion,Oregon,"42,383","44,464","48,135"
Morrow,Oregon,"45,016","48,535","58,541"
Multnomah,Oregon,"57,195","59,402","63,852"
Polk,Oregon,"41,045","42,718","45,660"
Sherman,Oregon,"54,618","57,119","66,349"
Tillamook,Oregon,"43,619","44,607","48,060"
Umatilla,Oregon,"39,728","41,267","46,209"
Union,Oregon,"39,755","40,881","45,242"
Wallowa,Oregon,"43,273","45,435","50,303"
Wasco,Oregon,"42,673","43,397","48,643"
Washington,Oregon,"60,999","63,425","66,831"
Wheeler,Oregon,"35,656","37,385","41,366"
Yamhill,Oregon,"45,273","47,151","51,028"
Pennsylvania,Pennsylvania,"55,924","57,596","61,700"
Adams,Pennsylvania,"48,826","50,785","54,172"
Allegheny,Pennsylvania,"63,371","64,718","68,777"
